"sample_id" "date" "time" "lat" "lon" "depth_min" "depth_max" "sample_volconc" "depth_max_round" "season" "station" "total_biomass_ug_m3" "Actinopterygii" "Annelida" "Appendicularia" "Bryozoa" "Cephalopoda" "Chaetognatha" "Cnidaria" "Copepoda" "Gastropoda" "Malacostraca" "Ostracoda" "Other" "Thaliacea" "Thecostraca"
"1" "2019_pos536_bongo10l_lrg" 2019-08-25 "22:49" 33.1318333333333 -38.9811666666667 0 10 118.98873 10 "Summer_2019" "D" 8069.42568357445 134.633617693023 159.264767212815 7.10483815821772 0 72.3283872024384 66.5517701642847 140.546240572258 413.975902498342 13.2076848208726 1919.22162166996 89.2029806713444 2523.08401077904 2458.9751281011 71.3287340307603
"2" "2019_pos536_bongo11l_lrg" 2019-08-25 "23:47" 33.1363333333333 -38.9791666666667 0 100 157.457655 100 "Summer_2019" "D" 8617.79756167364 471.654110549062 159.871368788135 0.425570041583949 0 26.6601662793137 130.444970889506 59.4890288178358 1045.89729917136 9.44858129221421 2550.72464463417 45.5640490607952 3603.4524324609 470.534131970725 43.6312077180411
"3" "2019_pos536_bongo12l_lrg" 2019-08-26 "00:59" 33.1387 -38.979 0 300 240.287715 300 "Summer_2019" "D" 3925.86076575674 448.433339165152 38.5301645187567 0.181160977864822 0 0 148.428163840056 176.537986308447 567.601721274229 0.651261983725021 1112.30324637134 15.1141246664329 864.328692190766 525.2009579868 28.5499464731711
"4" "2019_pos536_bongo13r_lrg" 2019-08-28 "18:29" 34 -38 0 10 262.61816 10 "Summer_2019" "E" 3957.14725375159 134.117550884635 4.9793611117871 2.59428213198215 0 0 104.102892080031 229.214061233255 332.602311607379 0 137.334172865452 0.434652616018691 2347.41705843113 664.256009854742 0.0949009351833946
"5" "2019_pos536_bongo14l_lrg" 2019-08-28 "19:20" 34 -38 0 100 289.163385 100 "Summer_2019" "E" 14139.6322405184 1059.26616941441 4.45785845044581 0.210895267730772 0 20.8368496484803 437.67006217197 219.040704812698 302.366190630943 0.328076368313702 251.080368975761 4.59225639790878 11483.505487912 228.417075949875 127.860244517846
"6" "2019_pos536_bongo15l_lrg" 2019-08-28 "20:31" 34 -38 0 300 244.03923 300 "Summer_2019" "E" 15490.4825459573 16.1539967048844 12.3262930513123 0.243259954519277 44.4214318802558 34.4734800250352 43.3091158785122 39.5152861162063 1421.15387289242 3.39082704487574 1950.50273877657 17.2002166078148 11712.5008704115 145.428497831564 49.8626587817707
"7" "2019_pos536_bongo16r_lrg" 2019-08-30 "02:34" 33 -37 0 10 262.61816 10 "Summer_2019" "F" 2859.94545591032 6.05306235759669 4.03045630820782 1.50497679913479 2.91617203645294 3.02314505515373 36.0093736291814 110.734607391893 477.316694820901 2.47075579176144 1518.05144245892 22.0822235796336 670.625567871186 3.64233942868715 1.48463838161499
"8" "2019_pos536_bongo17l_lrg" 2019-08-30 "03:32" 33 -37 0 100 209.682135 100 "Summer_2019" "F" 21182.8535284522 1928.31453185334 18.6076374361394 4.20858834314786 0 0 53.2504516392209 82.0337281198533 1752.47574008363 19.2266217519003 3618.35575650799 40.0810903018614 13555.9132211638 41.7213769830687 68.6647842681807
"9" "2019_pos536_bongo18r_lrg" 2019-08-30 "04:48" 33.1516666666667 -37 0 300 167.10138 300 "Summer_2019" "F" 1526.39547382382 1.64506190838236 13.6888426333477 2.86931935383975 0 0 107.328507551346 32.0080793633851 492.544290584761 0.685796747154921 707.133837748506 16.4501089551547 108.372865611587 26.1872490300265 17.4815143363313
"10" "2019_pos536_bongo19r_lrg" 2019-08-30 "21:21" 34 -37 0 10 65.5455375 10 "Summer_2019" "G" 4874.41229004738 308.329919463484 152.795247047601 0.323730343462977 0 6.11200840153238 189.356003503856 594.444057736588 133.924606968974 3.58996202057467 1858.94670095836 42.3196057822391 1554.50522112144 25.2715849586001 4.49364174066246
